"id";"cpu_percent";"ram_percent";"disk_percent";"download";"upload";"temp_celsius";"swap_percent";"tasks";"clock";"dataHora"
1;"8.5";"48.6";"48.4";"14.8";"11.4";"43.6";"62.8";"220.0";"3919.0";"2020-10-16 14:41:08"
2;"10.4";"48.6";"48.4";"21.8";"10.6";"43.4";"62.7";"220.0";"3909.0";"2020-10-16 14:41:13"
3;"19.2";"48.6";"48.4";"26.4";"11.4";"43.4";"62.7";"220.0";"3914.0";"2020-10-16 14:41:18"
4;"26.6";"48.5";"48.4";"25.0";"12.2";"46.4";"62.8";"219.2";"3909.0";"2020-10-16 14:41:23"
5;"26.9";"48.5";"48.4";"80.2";"13.6";"46.6";"62.8";"217.6";"3914.0";"2020-10-16 14:41:28"
6;"17.7";"48.6";"48.4";"88.6";"16.4";"46.4";"62.9";"217.0";"3914.0";"2020-10-16 14:41:33"
7;"8.3";"48.8";"48.4";"104.2";"12.2";"43.0";"63.0";"217.0";"3924.0";"2020-10-16 14:41:38"
8;"14.0";"48.8";"48.4";"57.4";"13.0";"43.0";"63.0";"217.0";"3909.0";"2020-10-16 14:41:44"
9;"13.6";"48.7";"48.4";"56.0";"14.4";"42.4";"63.0";"217.0";"3914.0";"2020-10-16 14:41:49"
10;"9.7";"48.7";"48.4";"37.8";"13.4";"44.0";"63.0";"215.8";"3914.0";"2020-10-16 14:41:54"
11;"22.7";"48.8";"48.4";"29.4";"17.2";"47.2";"63.0";"218.2";"3914.0";"2020-10-16 14:41:59"
12;"8.6";"48.8";"48.4";"36.0";"15.8";"43.8";"63.0";"220.0";"3914.0";"2020-10-16 14:42:04"
13;"9.2";"48.8";"48.4";"40.8";"12.8";"43.2";"63.0";"220.0";"3924.0";"2020-10-16 14:42:09"
14;"11.1";"48.8";"48.4";"54.8";"14.6";"43.0";"63.0";"220.0";"3914.0";"2020-10-16 14:42:14"
15;"8.9";"48.8";"48.4";"47.6";"12.2";"43.0";"63.0";"220.0";"3914.0";"2020-10-16 14:42:19"
16;"10.6";"48.8";"48.4";"51.8";"12.6";"45.2";"63.0";"218.8";"3924.0";"2020-10-16 14:42:24"
17;"21.9";"48.8";"48.4";"44.6";"15.0";"48.4";"63.0";"217.4";"3909.0";"2020-10-16 14:42:30"
18;"19.1";"48.7";"48.4";"49.8";"14.0";"47.0";"63.0";"217.0";"3904.0";"2020-10-16 14:42:35"
19;"13.4";"48.7";"48.4";"53.4";"12.0";"44.4";"63.0";"216.6";"3909.0";"2020-10-16 14:42:40"
20;"11.9";"48.7";"48.4";"47.2";"11.8";"43.8";"63.0";"216.0";"3924.0";"2020-10-16 14:42:45"
21;"11.3";"48.7";"48.4";"40.0";"11.4";"44.0";"63.0";"216.0";"3904.0";"2020-10-16 14:42:50"
22;"10.2";"48.7";"48.4";"39.8";"11.4";"43.4";"62.9";"214.4";"3919.0";"2020-10-16 14:42:55"
23;"21.8";"48.7";"48.4";"42.4";"15.6";"48.6";"63.0";"218.4";"3904.0";"2020-10-16 14:43:00"
24;"11.4";"48.8";"48.4";"42.0";"12.2";"44.0";"63.0";"219.0";"3924.0";"2020-10-16 14:43:06"
25;"13.9";"48.8";"48.4";"33.2";"15.8";"44.0";"63.0";"219.0";"3909.0";"2020-10-16 14:43:11"
26;"12.6";"48.8";"48.4";"33.8";"15.2";"44.8";"63.0";"219.0";"3914.0";"2020-10-16 14:43:16"
27;"13.6";"48.8";"48.4";"31.6";"13.8";"43.4";"63.0";"219.0";"3909.0";"2020-10-16 14:43:21"
28;"14.5";"48.7";"48.4";"38.8";"14.4";"44.0";"63.0";"217.0";"3914.0";"2020-10-16 14:43:26"
29;"58.4";"50.9";"48.4";"123.8";"28.0";"49.2";"65.4";"227.6";"3909.0";"2020-10-16 14:43:32"
30;"35.6";"51.8";"48.4";"62.0";"23.6";"47.8";"66.5";"229.0";"3904.0";"2020-10-16 14:43:37"
31;"26.2";"51.7";"48.4";"39.0";"14.0";"44.8";"66.3";"229.0";"3914.0";"2020-10-16 14:43:42"
